id	chapters	category	title	url	source_page	note
wl-graph-kernel-2011	2,6	papers	Weisfeiler-Lehman Graph Kernels	https://www.jmlr.org/papers/volume12/shervashidze11a/shervashidze11a.pdf	https://www.jmlr.org/papers/v12/shervashidze11a.html	迭代图核与消息传递的理论前身
transpolymer-2023	1,2,9,14,7	papers	TransPolymer: a Transformer-based language model for polymer property predictions	https://www.nature.com/articles/s41524-023-01016-5.pdf	https://www.nature.com/articles/s41524-023-01016-5	聚合物 Transformer 表示与预训练
scaffold-memorization-2018	2,3,16	papers	Most Ligand-Based Classification Benchmarks Reward Memorization Rather than Generalization	https://arxiv.org/abs/1706.06619	https://pubs.acs.org/doi/10.1021/acs.jcim.8b00025	随机划分高估性能与去泄漏
polymer-ensemble-gnn-2022	2,6	papers	A graph representation of molecular ensembles for polymer property prediction	https://arxiv.org/abs/2205.08619	https://arxiv.org/abs/2205.08619	聚合物集合图表示
polymer-multitask-gnn-2023	2,6,10,7	papers	Polymer informatics at-scale with multitask graph neural networks	https://arxiv.org/abs/2209.13557	https://arxiv.org/abs/2209.13557	多任务图网络与大规模筛选
geometric-deep-learning-2021	2,6	papers	Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges	https://arxiv.org/abs/2104.13478	https://arxiv.org/abs/2104.13478	几何深度学习的对称性与不变性框架
polymer-informatics-challenges-2020	2	papers	Potentials and challenges of polymer informatics: exploiting machine learning for polymer design	https://arxiv.org/abs/2010.07683	https://arxiv.org/abs/2010.07683	高分子信息学的表示与数据挑战综述
mol2vec-2018	2	papers	Mol2vec: Unsupervised Machine Learning Approach with Chemical Intuition	https://pubs.acs.org/doi/10.1021/acs.jcim.7b00616	https://pubs.acs.org/doi/10.1021/acs.jcim.7b00616	子结构嵌入表示
morgan-1965	2	papers	The Generation of a Unique Machine Description for Chemical Structures	https://pubs.acs.org/doi/10.1021/c160017a018	https://pubs.acs.org/doi/10.1021/c160017a018	拓扑指纹的早期工作
point2-2025	3,4	datasets	POINT2: A Polymer Informatics Training and Testing Database	https://arxiv.org/abs/2503.23491	https://arxiv.org/abs/2503.23491	多性质训练/测试基准与划分
open-polymer-challenge-2025	3,4,15,16	datasets	Open Polymer Challenge: Post-Competition Report	https://arxiv.org/abs/2512.08896	https://arxiv.org/abs/2512.08896	竞赛赛后报告与基准记录
kapoor-narayanan-2023	3,16	papers	Leakage and the Reproducibility Crisis in ML-based Science	https://arxiv.org/abs/2207.07048	https://arxiv.org/abs/2207.07048	数据泄漏与复现危机
matbench-2020	3,6	papers	Benchmarking Materials Property Prediction Methods: The Matbench Test Set and Automatminer Reference Algorithm	https://arxiv.org/abs/2005.00707	https://arxiv.org/abs/2005.00707	材料基准的测试集与划分
hestness-2017	3,6	papers	Deep Learning Scaling is Predictable, Empirically	https://arxiv.org/abs/1712.00409	https://arxiv.org/abs/1712.00409	幂律学习曲线的经验形式
rosenfeld-2020	3,6	papers	A Constructive Prediction of the Generalization Error Across Scales	https://arxiv.org/abs/1909.12673	https://arxiv.org/abs/1909.12673	跨尺度泛化误差预测
arlot-celisse-2010	3,6	papers	A survey of cross-validation procedures for model selection	https://arxiv.org/abs/0907.4728	https://arxiv.org/abs/0907.4728	交叉验证与模型选择
dome-2021	3,16	papers	DOME: Recommendations for supervised machine learning validation in biology	https://arxiv.org/abs/2006.16189	https://arxiv.org/abs/2006.16189	监督学习报告规范
neurips-reproducibility-2020	3	papers	Improving Reproducibility in Machine Learning Research	https://arxiv.org/abs/2003.12206	https://arxiv.org/abs/2003.12206	复现性检查表与实践
fair-principles-2016	3,16	documents	The FAIR Guiding Principles for scientific data management and stewardship	https://www.nature.com/articles/sdata201618	https://www.nature.com/articles/sdata201618	数据可发现、可访问、可互操作、可复用原则
datasheets-datasets-2018	3	papers	Datasheets for Datasets	https://arxiv.org/abs/1803.09010	https://arxiv.org/abs/1803.09010	数据集文档规范
domainbed-2021	3,8	papers	In Search of Lost Domain Generalization	https://arxiv.org/abs/2007.01434	https://arxiv.org/abs/2007.01434	分布偏移下的评测协议
show-your-work-2019	3	papers	Show Your Work: Improved Reporting of Experimental Results	https://arxiv.org/abs/1909.03004	https://arxiv.org/abs/1909.03004	误差棒与结果选择
rethinking-generalization-2017	3	papers	Understanding deep learning requires rethinking generalization	https://arxiv.org/abs/1611.03530	https://arxiv.org/abs/1611.03530	记忆与外推的对照
tg-ml-assess-2019	4	papers	Assessing and Improving Machine Learning Model Predictions of Polymer Glass Transition Temperatures	https://arxiv.org/abs/1908.02398	https://arxiv.org/abs/1908.02398	Tg 数据质量与模型评估
tg-ml-explain-2023	4	papers	Explainability and Transferability of Machine Learning Models for Predicting the Glass Transition Temperature of Polymers	https://arxiv.org/abs/2308.09898	https://arxiv.org/abs/2308.09898	Tg 模型的可解释性与迁移
polyimide-tg-md-ml-2020	4	papers	Determination of Glass Transition Temperature of Polyimides from Atomistic Molecular Dynamics Simulations and Machine-Learning Algorithms	https://arxiv.org/abs/2001.08889	https://arxiv.org/abs/2001.08889	模拟标签与 Tg 预测
bidisperse-melts-2021	4	papers	Dynamics and Stress Relaxation of Bidisperse Polymer Melts with Unentangled and Moderately Entangled Chains	https://arxiv.org/abs/2104.05020	https://arxiv.org/abs/2104.05020	分子量分布与应力松弛
free-volume-deformation-2023	4	papers	Evolution of Free Volume Elements in Amorphous Polymers Undergoing Uniaxial Deformation: a Molecular Dynamics Simulation Study	https://arxiv.org/abs/2307.12460	https://arxiv.org/abs/2307.12460	形变下的自由体积演化
mech-props-ann-md-2023	4	papers	Artificial Neural Networks for Predicting Mechanical Properties of Crystalline Polyamide12 via Molecular Dynamics Simulations	https://arxiv.org/abs/2307.10139	https://arxiv.org/abs/2307.10139	力学性质的模拟与学习
gas-separation-gnn-2024	4,16	papers	Superior Polymeric Gas Separation Membrane Designed by Explainable Graph Machine Learning	https://arxiv.org/abs/2404.10903	https://arxiv.org/abs/2404.10903	可解释图学习与气体分离膜
free-volume-hydrogen-2022	4	papers	Structure, Dynamics and Hydrogen Transport in Amorphous Polymers: An Analysis of the Interplay Between Free Volume Element Distribution and Local Segmental Dynamics	https://arxiv.org/abs/2209.09142	https://arxiv.org/abs/2209.09142	自由体积与输运的分子模拟
thermal-cond-interpretable-2023	4	papers	Exploring high thermal conductivity polymers via interpretable machine learning with physical descriptors	https://arxiv.org/abs/2301.03030	https://arxiv.org/abs/2301.03030	物理描述符与可解释模型
thermal-cond-tutorial-2024	4,11	papers	Tutorial: AI-assisted exploration and active design of polymers with high intrinsic thermal conductivity	https://arxiv.org/abs/2403.15887	https://arxiv.org/abs/2403.15887	热导设计的方法流程
thermal-cond-md-2021	4	papers	Machine Learning-Assisted Exploration of Thermally Conductive Polymers Based on High-Throughput Molecular Dynamics Simulations	https://arxiv.org/abs/2109.02794	https://arxiv.org/abs/2109.02794	高通量模拟与热导预测
graph-cnn-polymer-2018	4	papers	Graph Convolutional Neural Networks for Polymers Property Prediction	https://arxiv.org/abs/1811.06231	https://arxiv.org/abs/1811.06231	图表示与性质预测
polymer-informatics-next-arxiv-2020	4	papers	Polymer Informatics: Current Status and Critical Next Steps	https://arxiv.org/abs/2011.00508	https://arxiv.org/abs/2011.00508	数据、表示与可迁移性的关键问题（arXiv 版）
fox-flory-1950	1,4	papers	Second-Order Transition Temperatures and Related Properties of Polystyrene	https://pubs.aip.org/aip/jap/article-abstract/21/6/581/158211	https://pubs.aip.org/aip/jap/article-abstract/21/6/581/158211	Fox–Flory 关系的原始工作（领域定位，订阅来源）
robeson-2008	4,16	papers	The upper bound revisited	https://www.sciencedirect.com/science/article/abs/pii/S0376738808002544	https://www.sciencedirect.com/science/article/abs/pii/S0376738808002544	Robeson 上界的更新（领域定位，订阅来源）
wlf-1955	4	papers	The Temperature Dependence of Relaxation Mechanisms in Amorphous Polymers and Other Glass-forming Liquids	https://pubs.aip.org/aip/jcp/article/23/2/379/226027	https://pubs.aip.org/aip/jcp/article/23/2/379/226027	WLF 方程的原始工作（领域定位，订阅来源）
opls-aa-1996	5	papers	Development and Testing of the OPLS All-Atom Force Field on Conformational Energetics and Properties of Organic Liquids	https://pubs.acs.org/doi/10.1021/ja9621760	https://pubs.acs.org/doi/10.1021/ja9621760	OPLS-AA 力场：有机液体与聚合物参数化起点（订阅来源）
gaff-2004	5	papers	Development and testing of a general amber force field	https://onlinelibrary.wiley.com/doi/10.1002/jcc.20035	https://onlinelibrary.wiley.com/doi/10.1002/jcc.20035	GAFF 力场：通用小分子与聚合物参数化（订阅来源）
compass-1998	5	papers	COMPASS: An ab Initio Force-Field Optimized for Condensed-Phase Applications	https://pubs.acs.org/doi/10.1021/jp9725439	https://pubs.acs.org/doi/10.1021/jp9725439	COMPASS 力场：凝聚相与聚合物参数化（订阅来源）
charmm-1998	5	papers	All-Atom Empirical Potential for Molecular Modeling and Dynamics Studies of Proteins	https://pubs.acs.org/doi/10.1021/jp973084f	https://pubs.acs.org/doi/10.1021/jp973084f	CHARMM 全原子力场：成键与非键项形式（订阅来源）
martini-2007	5	papers	The MARTINI Force Field: Coarse Grained Model for Biomolecular Simulations	https://pubs.acs.org/doi/10.1021/jp071097f	https://pubs.acs.org/doi/10.1021/jp071097f	MARTINI 粗粒化力场：映射与参数化（订阅来源）
ibi-2003	5	papers	Deriving effective mesoscale potentials from atomistic simulations	https://onlinelibrary.wiley.com/doi/10.1002/jcc.10307	https://onlinelibrary.wiley.com/doi/10.1002/jcc.10307	迭代玻尔兹曼反演（IBI）：结构匹配式粗粒化（订阅来源）
force-matching-2005	5	papers	A multiscale coarse-graining method for biomolecular systems	https://pubs.acs.org/doi/10.1021/jp044629q	https://pubs.acs.org/doi/10.1021/jp044629q	力匹配式粗粒化：从全原子力反推有效势（订阅来源）
relative-entropy-2008	5	papers	The relative entropy is fundamental to multiscale and inverse thermodynamic problems	https://pubs.aip.org/aip/jcp/article/129/14/144108/187392	https://pubs.aip.org/aip/jcp/article/129/14/144108/187392	相对熵最小化：粗粒化参数化的信息论判据（订阅来源）
metadynamics-2002	5	papers	Escaping free-energy minima	https://www.pnas.org/doi/10.1073/pnas.202427399	https://www.pnas.org/doi/10.1073/pnas.202427399	元动力学：累积高斯偏置与自由能重建
umbrella-1977	5	papers	Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling	https://www.sciencedirect.com/science/article/pii/0021999177901218	https://www.sciencedirect.com/science/article/pii/0021999177901218	伞形采样：沿反应坐标加偏置（订阅来源）
wham-1992	5	papers	The weighted histogram analysis method for free-energy calculations on biomolecules	https://onlinelibrary.wiley.com/doi/10.1002/jcc.540130812	https://onlinelibrary.wiley.com/doi/10.1002/jcc.540130812	WHAM：拼接偏置窗口的无偏自由能（订阅来源）
replica-exchange-1999	5	papers	Replica-exchange molecular dynamics method for protein folding	https://www.sciencedirect.com/science/article/abs/pii/S0009261499011419	https://www.sciencedirect.com/science/article/abs/pii/S0009261499011419	副本交换：多温度并行与构型交换（订阅来源）
behler-parrinello-2007	5	papers	Generalized Neural-Network Representation of High-Dimensional Potential-Energy Surfaces	https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.98.146401	https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.98.146401	高维势能面的神经网络表示：局部环境求和（订阅来源）
mace-mp-0-2023	1,5	papers	A foundation model for atomistic materials chemistry	https://arxiv.org/abs/2401.00096	https://arxiv.org/abs/2401.00096	通用基础势：MACE-MP-0 与跨材料迁移
chgnet-2023	5	papers	CHGNet as a pretrained universal neural network potential for charge-informed atomistic modelling	https://arxiv.org/abs/2302.14231	https://arxiv.org/abs/2302.14231	通用势：电荷信息与磁矩
m3gnet-2022	5,14	papers	A universal graph deep learning interatomic potential for the periodic table	https://arxiv.org/abs/2202.02450	https://arxiv.org/abs/2202.02450	通用图势：周期表覆盖与材料筛选
allegro-2023	5	papers	Learning local equivariant representations for large-scale atomistic dynamics	https://arxiv.org/abs/2204.05249	https://arxiv.org/abs/2204.05249	局部等变势：大规模动力学与外推
flare-2020	5,11	papers	On-the-fly active learning of interpretable Bayesian force fields	https://arxiv.org/abs/2003.01831	https://arxiv.org/abs/2003.01831	在线主动学习力场与不确定性驱动采样
mlff-review-2021	5	papers	Machine Learning Force Fields	https://arxiv.org/abs/2010.07067	https://arxiv.org/abs/2010.07067	机器学习势综述：描述符、模型与数据
lammps-2022	5	papers	LAMMPS - a flexible simulation tool for particle-based materials modeling at the atomic, meso, and continuum scales	https://arxiv.org/abs/2112.09251	https://arxiv.org/abs/2112.09251	LAMMPS 2022 论文：原子到连续介质尺度
openmm-2017	5	papers	OpenMM 7: Rapid development of high performance algorithms for molecular dynamics	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005659	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005659	OpenMM 7：GPU 分子动力学与可扩展平台
pyscf-2020	5	papers	Recent developments in the PySCF program package	https://arxiv.org/abs/2002.12531	https://arxiv.org/abs/2002.12531	PySCF：Python 量子化学程序包
gromacs-2015	5,14	papers	GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers	https://www.sciencedirect.com/science/article/pii/S2352711015000059	https://www.sciencedirect.com/science/article/pii/S2352711015000059	GROMACS 5：多级并行的分子模拟
d3-2010	5	papers	A consistent and accurate ab initio parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu	https://pubs.aip.org/aip/jcp/article/132/15/154104/187772	https://pubs.aip.org/aip/jcp/article/132/15/154104/187772	DFT-D3 色散校正：泛函之外的弱相互作用（订阅来源）
pcff-1994	5	papers	Force field for computation of conformational energies, structures, and vibrational frequencies of aromatic polyesters	https://onlinelibrary.wiley.com/doi/10.1002/jcc.540150310	https://onlinelibrary.wiley.com/doi/10.1002/jcc.540150310	PCFF 力场：芳香聚酯与聚合物的凝聚相参数化（订阅来源）
vae-2013	1,9	papers	Auto-Encoding Variational Bayes	https://arxiv.org/abs/1312.6114	https://arxiv.org/abs/1312.6114	变分自编码器、重参数化与证据下界
gan-2014	1,9	papers	Generative Adversarial Networks	https://arxiv.org/abs/1406.2661	https://arxiv.org/abs/1406.2661	生成对抗网络与对抗训练
ddpm-2020	1,9	papers	Denoising Diffusion Probabilistic Models	https://arxiv.org/abs/2006.11239	https://arxiv.org/abs/2006.11239	去噪扩散概率模型与噪声预测目标
ddim-2020	9	papers	Denoising Diffusion Implicit Models	https://arxiv.org/abs/2010.02502	https://arxiv.org/abs/2010.02502	确定性扩散采样与步数加速
score-sde-2020	9	papers	Score-Based Generative Modeling through Stochastic Differential Equations	https://arxiv.org/abs/2011.13456	https://arxiv.org/abs/2011.13456	分数匹配与随机微分方程视角
flow-matching-2022	9	papers	Flow Matching for Generative Modeling	https://arxiv.org/abs/2210.02747	https://arxiv.org/abs/2210.02747	流匹配与连续归一化流
neural-ode-2018	9	papers	Neural Ordinary Differential Equations	https://arxiv.org/abs/1806.07366	https://arxiv.org/abs/1806.07366	连续归一化流与 ODE 求解采样
normalizing-flows-2015	9	papers	Variational Inference with Normalizing Flows	https://arxiv.org/abs/1505.05770	https://arxiv.org/abs/1505.05770	可逆变换与变量替换公式
maskgit-2022	9	papers	MaskGIT: Masked Generative Image Transformer	https://arxiv.org/abs/2202.04200	https://arxiv.org/abs/2202.04200	掩码生成与并行迭代解码
mdlm-2024	9	papers	Simple and Effective Masked Diffusion Language Models	https://arxiv.org/abs/2406.07524	https://arxiv.org/abs/2406.07524	掩码扩散语言模型与似然界
d3pm-2021	9	papers	Structured Denoising Diffusion Models in Discrete State-Spaces	https://arxiv.org/abs/2107.03006	https://arxiv.org/abs/2107.03006	离散扩散与转移矩阵加噪
cfg-2022	9	papers	Classifier-Free Diffusion Guidance	https://arxiv.org/abs/2207.12598	https://arxiv.org/abs/2207.12598	无分类器引导与条件生成
edm-2022	9	papers	Elucidating the Design Space of Diffusion-Based Generative Models	https://arxiv.org/abs/2206.00364	https://arxiv.org/abs/2206.00364	扩散训练与采样的设计空间
molgan-2018	9,10	papers	MolGAN: An implicit generative model for small molecular graphs	https://arxiv.org/abs/1805.11973	https://arxiv.org/abs/1805.11973	分子图对抗生成与强化学习奖励
jtvae-2018	9,10	papers	Junction Tree Variational Autoencoder for Molecular Graph Generation	https://arxiv.org/abs/1802.04364	https://arxiv.org/abs/1802.04364	分子图 VAE 与语法约束解码
graphaf-2020	9	papers	GraphAF: a Flow-based Autoregressive Model for Molecular Graph Generation	https://arxiv.org/abs/2001.09382	https://arxiv.org/abs/2001.09382	自回归流生成分子图
geoldm-2022	9	papers	Equivariant Diffusion for Molecule Generation in 3D	https://arxiv.org/abs/2203.17003	https://arxiv.org/abs/2203.17003	三维分子等变扩散生成
polyvae-2020	9	papers	Polymers for Extreme Conditions Designed Using Syntax-Directed Variational Autoencoders	https://export.arxiv.org/pdf/2011.02551	https://arxiv.org/abs/2011.02551	语法指导 VAE 与聚合物候选设计
polygen-2025	9	papers	polyGen: A Learning Framework for Atomic-level Polymer Structure Generation	https://arxiv.org/abs/2504.17656	https://arxiv.org/abs/2504.17656	原子级聚合物结构生成
self-improvable-polymer-2023	9	papers	A Self-Improvable Polymer Discovery Framework Based on Conditional Generative Model	https://arxiv.org/abs/2312.04013	https://arxiv.org/abs/2312.04013	条件生成与自改进聚合物发现
polybart-2025	9	papers	polyBART: A Chemical Linguist for Polymer Property Prediction and Generative Design	https://export.arxiv.org/pdf/2506.04233	https://arxiv.org/abs/2506.04233	聚合物序列生成与性质预测
glamour-2021	9	papers	GLAMOUR: Graph Learning over Macromolecule Representations	https://export.arxiv.org/pdf/2103.02565	https://arxiv.org/abs/2103.02565	高分子图表征与表示学习
vitrimer-inverse-2023	1,9,10,15,16	papers	AI-guided inverse design and discovery of recyclable vitrimeric polymers	https://arxiv.org/abs/2312.03690	https://arxiv.org/abs/2312.03690	可回收聚合物的生成式逆向设计
open-polymer-generative-pipeline-2024	9	papers	Open-source Polymer Generative Pipeline	https://arxiv.org/abs/2412.08658	https://arxiv.org/abs/2412.08658	开源聚合物生成流程与评价协议
sa-score-2009	9,10,12	papers	Estimation of synthetic accessibility score of drug-like molecules based on molecular complexity and fragment contributions	https://jcheminf.biomedcentral.com/articles/10.1186/1758-2946-1-8	https://jcheminf.biomedcentral.com/articles/10.1186/1758-2946-1-8	可合成性评分的片段贡献法
inverse-design-review-2018	10	papers	Inverse molecular design using machine learning: Generative models for matter engineering	https://www.science.org/doi/10.1126/science.aat2663	https://www.science.org/doi/10.1126/science.aat2663	逆向分子设计的生成模型综述（订阅来源）
